Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-01-02 00:00:00-05:00,67.5199966430664,74.33999633789062,67.5199966430664,74.05000305175781,74.05000305175781,641100,0.0,0.0
2025-01-03 00:00:00-05:00,75.16000366210938,82.01000213623047,74.7699966430664,80.80000305175781,80.80000305175781,763200,0.0,0.0
2025-01-06 00:00:00-05:00,83.80000305175781,84.23999786376953,80.5,81.58000183105469,81.58000183105469,568300,0.0,0.0
2025-01-07 00:00:00-05:00,81.06999969482422,82.02999877929688,72.52999877929688,73.6500015258789,73.6500015258789,806400,0.0,0.0
2025-01-08 00:00:00-05:00,72.33000183105469,73.61000061035156,69.51000213623047,72.41999816894531,72.41999816894531,715500,0.0,0.0
2025-01-10 00:00:00-05:00,72.41999816894531,74.66000366210938,69.5,70.83000183105469,70.83000183105469,379000,0.0,0.0
2025-01-13 00:00:00-05:00,69.44999694824219,72.44000244140625,68.0999984741211,69.76000213623047,69.76000213623047,580300,0.0,0.0
2025-01-14 00:00:00-05:00,72.02999877929688,72.75,68.5999984741211,69.86000061035156,69.86000061035156,250000,0.0,0.0
2025-01-15 00:00:00-05:00,72.0,74.13999938964844,70.1500015258789,73.62000274658203,73.62000274658203,782100,0.0,0.0
2025-01-16 00:00:00-05:00,74.51000213623047,75.05000305175781,72.0199966430664,74.05999755859375,74.05999755859375,295400,0.0,0.0
2025-01-17 00:00:00-05:00,75.22000122070312,79.12000274658203,74.12999725341797,77.83000183105469,77.83000183105469,699600,0.0,0.0
2025-01-21 00:00:00-05:00,81.62999725341797,89.37999725341797,79.06999969482422,88.52999877929688,88.52999877929688,1369500,0.0,0.0
2025-01-22 00:00:00-05:00,94.38999938964844,94.38999938964844,88.63999938964844,90.80999755859375,90.80999755859375,1199400,0.0,0.0
2025-01-23 00:00:00-05:00,89.3499984741211,97.69999694824219,89.0,94.19999694824219,94.19999694824219,1111900,0.0,0.0
2025-01-24 00:00:00-05:00,97.9000015258789,99.56999969482422,91.30999755859375,92.0,92.0,883000,0.0,0.0
2025-01-27 00:00:00-05:00,83.5,84.2300033569336,76.5,78.19000244140625,78.19000244140625,1896400,0.0,0.0
2025-01-28 00:00:00-05:00,80.0,81.02999877929688,75.0,78.91999816894531,78.91999816894531,629200,0.0,0.0
2025-01-29 00:00:00-05:00,79.58000183105469,82.69999694824219,79.19999694824219,81.37999725341797,81.37999725341797,508400,0.0,0.0
2025-01-30 00:00:00-05:00,82.77999877929688,86.87999725341797,82.63999938964844,85.37999725341797,85.37999725341797,552700,0.0,0.0
2025-01-31 00:00:00-05:00,86.91000366210938,87.45999908447266,82.13999938964844,82.30000305175781,82.30000305175781,689900,0.0,0.0
2025-02-03 00:00:00-05:00,78.0,83.2300033569336,77.01000213623047,81.87000274658203,81.87000274658203,390200,0.0,0.0
2025-02-04 00:00:00-05:00,85.33000183105469,85.5999984741211,78.75,80.4000015258789,80.4000015258789,517100,0.0,0.0
2025-02-05 00:00:00-05:00,79.6500015258789,86.83000183105469,79.51000213623047,84.4000015258789,84.4000015258789,700100,0.0,0.0
2025-02-06 00:00:00-05:00,85.23999786376953,85.54000091552734,78.83999633789062,81.80999755859375,81.80999755859375,669500,0.0,0.0
2025-02-07 00:00:00-05:00,94.9000015258789,111.9000015258789,86.9000015258789,108.91000366210938,108.91000366210938,4301500,0.0,0.0
2025-02-10 00:00:00-05:00,107.0,119.41999816894531,104.5,114.38999938964844,114.38999938964844,1627800,0.0,0.0
2025-02-11 00:00:00-05:00,112.56999969482422,118.97000122070312,112.4000015258789,114.0,114.0,1123700,0.0,0.0
2025-02-12 00:00:00-05:00,113.37000274658203,122.94999694824219,113.0,118.70999908447266,118.70999908447266,1221100,0.0,0.0
2025-02-13 00:00:00-05:00,121.5,122.0,111.77999877929688,117.7699966430664,117.7699966430664,939000,0.0,0.0
2025-02-14 00:00:00-05:00,118.0,118.0,112.5,113.98999786376953,113.98999786376953,562700,0.0,0.0
2025-02-18 00:00:00-05:00,112.2300033569336,115.7699966430664,108.08000183105469,111.66000366210938,111.66000366210938,653300,0.0,0.0
2025-02-19 00:00:00-05:00,108.80999755859375,110.0,104.33999633789062,106.0,106.0,963200,0.0,0.0
2025-02-20 00:00:00-05:00,105.31999969482422,106.12999725341797,101.0,104.16000366210938,104.16000366210938,660100,0.0,0.0
2025-02-21 00:00:00-05:00,104.62000274658203,104.94999694824219,94.63999938964844,98.2699966430664,98.2699966430664,989700,0.0,0.0
2025-02-24 00:00:00-05:00,97.33000183105469,97.33000183105469,88.08999633789062,89.58000183105469,89.58000183105469,909400,0.0,0.0
2025-02-25 00:00:00-05:00,92.3499984741211,93.66999816894531,85.5,87.62999725341797,87.62999725341797,909400,0.0,0.0
2025-02-26 00:00:00-05:00,90.36000061035156,95.5,88.86000061035156,93.5,93.5,741200,0.0,0.0
2025-02-27 00:00:00-05:00,96.5,98.0,89.33000183105469,89.5199966430664,89.5199966430664,707000,0.0,0.0
2025-02-28 00:00:00-05:00,88.52999877929688,91.88999938964844,84.69999694824219,90.7300033569336,90.7300033569336,739000,0.0,0.0
2025-03-03 00:00:00-05:00,92.66000366210938,93.33000183105469,82.62000274658203,84.0,84.0,912700,0.0,0.0
2025-03-04 00:00:00-05:00,80.66000366210938,90.47000122070312,79.61000061035156,88.80000305175781,88.80000305175781,939800,0.0,0.0
2025-03-05 00:00:00-05:00,90.33999633789062,90.33999633789062,81.41000366210938,84.55999755859375,84.55999755859375,929000,0.0,0.0
